"","year","sc","stock","catch","tonnes"
"1","2020","baseline","cod.27.7e-k","TAC",805
"2","2020","baseline","had.27.7b-k","TAC",10859
"3","2020","baseline","meg.27.7b-k8abd","TAC",19458.65
"4","2020","baseline","mon.27.78abd","TAC",31586.82
"5","2020","baseline","nep.fu.16","TAC",2273.69
"6","2020","baseline","nep.fu.17","TAC",168.2
"7","2020","baseline","nep.fu.19","TAC",251.93
"8","2020","baseline","nep.fu.2021","TAC",3029.01
"9","2020","baseline","nep.fu.22","TAC",2103.94
"10","2020","baseline","nep.out.7","TAC",244.42
"11","2020","baseline","sol.27.7fg","TAC",1652
"12","2020","baseline","whg.27.7b-ce-k","TAC",7762
"13","2020","baseline","cod.27.7e-k","legal landings",805
"14","2020","baseline","had.27.7b-k","legal landings",10859
"15","2020","baseline","meg.27.7b-k8abd","legal landings",19458.65
"16","2020","baseline","mon.27.78abd","legal landings",24349.1
"17","2020","baseline","nep.fu.16","legal landings",2273.69
"18","2020","baseline","nep.fu.17","legal landings",168.2
"19","2020","baseline","nep.fu.19","legal landings",251.93
"20","2020","baseline","nep.fu.2021","legal landings",3029.01
"21","2020","baseline","nep.fu.22","legal landings",2103.94
"22","2020","baseline","nep.out.7","legal landings",244.42
"23","2020","baseline","sol.27.7fg","legal landings",1652
"24","2020","baseline","whg.27.7b-ce-k","legal landings",7762
"25","2020","baseline","cod.27.7e-k","discards",0
"26","2020","baseline","had.27.7b-k","discards",0
"27","2020","baseline","meg.27.7b-k8abd","discards",0
"28","2020","baseline","mon.27.78abd","discards",0
"29","2020","baseline","nep.fu.16","discards",0
"30","2020","baseline","nep.fu.17","discards",0
"31","2020","baseline","nep.fu.19","discards",0
"32","2020","baseline","nep.fu.2021","discards",0
"33","2020","baseline","nep.fu.22","discards",0
"34","2020","baseline","nep.out.7","discards",0
"35","2020","baseline","sol.27.7fg","discards",0
"36","2020","baseline","whg.27.7b-ce-k","discards",0
"37","2020","baseline","cod.27.7e-k","overTAC landings",367.93
"38","2020","baseline","had.27.7b-k","overTAC landings",9249.31
"39","2020","baseline","meg.27.7b-k8abd","overTAC landings",665.5
"40","2020","baseline","mon.27.78abd","overTAC landings",0
"41","2020","baseline","nep.fu.16","overTAC landings",0
"42","2020","baseline","nep.fu.17","overTAC landings",0
"43","2020","baseline","nep.fu.19","overTAC landings",0
"44","2020","baseline","nep.fu.2021","overTAC landings",0
"45","2020","baseline","nep.fu.22","overTAC landings",0
"46","2020","baseline","nep.out.7","overTAC landings",0
"47","2020","baseline","sol.27.7fg","overTAC landings",0
"48","2020","baseline","whg.27.7b-ce-k","overTAC landings",1010
"49","2021","min","cod.27.7e-k","legal landings",0
"50","2021","min","had.27.7b-k","legal landings",0
"51","2021","min","meg.27.7b-k8abd","legal landings",0
"52","2021","min","mon.27.78abd","legal landings",0
"53","2021","min","nep.fu.16","legal landings",0
"54","2021","min","nep.fu.17","legal landings",0
"55","2021","min","nep.fu.19","legal landings",0
"56","2021","min","nep.fu.2021","legal landings",0
"57","2021","min","nep.fu.22","legal landings",0
"58","2021","min","nep.out.7","legal landings",0
"59","2021","min","sol.27.7fg","legal landings",0
"60","2021","min","whg.27.7b-ce-k","legal landings",0
"61","2021","min","cod.27.7e-k","discards",0
"62","2021","min","had.27.7b-k","discards",0
"63","2021","min","meg.27.7b-k8abd","discards",0
"64","2021","min","mon.27.78abd","discards",0
"65","2021","min","nep.fu.16","discards",0
"66","2021","min","nep.fu.17","discards",0
"67","2021","min","nep.fu.19","discards",0
"68","2021","min","nep.fu.2021","discards",0
"69","2021","min","nep.fu.22","discards",0
"70","2021","min","nep.out.7","discards",0
"71","2021","min","sol.27.7fg","discards",0
"72","2021","min","whg.27.7b-ce-k","discards",0
"73","2021","min","cod.27.7e-k","overTAC landings",0
"74","2021","min","had.27.7b-k","overTAC landings",0
"75","2021","min","meg.27.7b-k8abd","overTAC landings",0
"76","2021","min","mon.27.78abd","overTAC landings",0
"77","2021","min","nep.fu.16","overTAC landings",0
"78","2021","min","nep.fu.17","overTAC landings",0
"79","2021","min","nep.fu.19","overTAC landings",0
"80","2021","min","nep.fu.2021","overTAC landings",0
"81","2021","min","nep.fu.22","overTAC landings",0
"82","2021","min","nep.out.7","overTAC landings",0
"83","2021","min","sol.27.7fg","overTAC landings",0
"84","2021","min","whg.27.7b-ce-k","overTAC landings",0
"85","2021","max","cod.27.7e-k","legal landings",0
"86","2021","max","had.27.7b-k","legal landings",18425
"87","2021","max","meg.27.7b-k8abd","legal landings",19030
"88","2021","max","mon.27.78abd","legal landings",34577
"89","2021","max","nep.fu.16","legal landings",3290
"90","2021","max","nep.fu.17","legal landings",412.02
"91","2021","max","nep.fu.19","legal landings",350.99
"92","2021","max","nep.fu.2021","legal landings",1430
"93","2021","max","nep.fu.22","legal landings",1371
"94","2021","max","nep.out.7","legal landings",150
"95","2021","max","sol.27.7fg","legal landings",1417
"96","2021","max","whg.27.7b-ce-k","legal landings",5265
"97","2021","max","cod.27.7e-k","discards",0
"98","2021","max","had.27.7b-k","discards",0
"99","2021","max","meg.27.7b-k8abd","discards",0
"100","2021","max","mon.27.78abd","discards",0
"101","2021","max","nep.fu.16","discards",0
"102","2021","max","nep.fu.17","discards",0
"103","2021","max","nep.fu.19","discards",0
"104","2021","max","nep.fu.2021","discards",0
"105","2021","max","nep.fu.22","discards",0
"106","2021","max","nep.out.7","discards",0
"107","2021","max","sol.27.7fg","discards",0
"108","2021","max","whg.27.7b-ce-k","discards",0
"109","2021","max","cod.27.7e-k","overTAC landings",3614
"110","2021","max","had.27.7b-k","overTAC landings",12391
"111","2021","max","meg.27.7b-k8abd","overTAC landings",24884.72
"112","2021","max","mon.27.78abd","overTAC landings",27885.32
"113","2021","max","nep.fu.16","overTAC landings",11963.64
"114","2021","max","nep.fu.17","overTAC landings",0
"115","2021","max","nep.fu.19","overTAC landings",0
"116","2021","max","nep.fu.2021","overTAC landings",1584.73
"117","2021","max","nep.fu.22","overTAC landings",3281.08
"118","2021","max","nep.out.7","overTAC landings",360.01
"119","2021","max","sol.27.7fg","overTAC landings",1203
"120","2021","max","whg.27.7b-ce-k","overTAC landings",8359
"121","2021","sq_E","cod.27.7e-k","legal landings",0
"122","2021","sq_E","had.27.7b-k","legal landings",18425
"123","2021","sq_E","meg.27.7b-k8abd","legal landings",19030
"124","2021","sq_E","mon.27.78abd","legal landings",34467.35
"125","2021","sq_E","nep.fu.16","legal landings",3193.26
"126","2021","sq_E","nep.fu.17","legal landings",225.34
"127","2021","sq_E","nep.fu.19","legal landings",212.46
"128","2021","sq_E","nep.fu.2021","legal landings",1430
"129","2021","sq_E","nep.fu.22","legal landings",1345.28
"130","2021","sq_E","nep.out.7","legal landings",141.05
"131","2021","sq_E","sol.27.7fg","legal landings",1391
"132","2021","sq_E","whg.27.7b-ce-k","legal landings",5265
"133","2021","sq_E","cod.27.7e-k","discards",0
"134","2021","sq_E","had.27.7b-k","discards",0
"135","2021","sq_E","meg.27.7b-k8abd","discards",0
"136","2021","sq_E","mon.27.78abd","discards",0
"137","2021","sq_E","nep.fu.16","discards",0
"138","2021","sq_E","nep.fu.17","discards",0
"139","2021","sq_E","nep.fu.19","discards",0
"140","2021","sq_E","nep.fu.2021","discards",0
"141","2021","sq_E","nep.fu.22","discards",0
"142","2021","sq_E","nep.out.7","discards",0
"143","2021","sq_E","sol.27.7fg","discards",0
"144","2021","sq_E","whg.27.7b-ce-k","discards",0
"145","2021","sq_E","cod.27.7e-k","overTAC landings",2787
"146","2021","sq_E","had.27.7b-k","overTAC landings",2988
"147","2021","sq_E","meg.27.7b-k8abd","overTAC landings",2100.38
"148","2021","sq_E","mon.27.78abd","overTAC landings",0
"149","2021","sq_E","nep.fu.16","overTAC landings",0
"150","2021","sq_E","nep.fu.17","overTAC landings",0
"151","2021","sq_E","nep.fu.19","overTAC landings",0
"152","2021","sq_E","nep.fu.2021","overTAC landings",143.56
"153","2021","sq_E","nep.fu.22","overTAC landings",0
"154","2021","sq_E","nep.out.7","overTAC landings",0
"155","2021","sq_E","sol.27.7fg","overTAC landings",0
"156","2021","sq_E","whg.27.7b-ce-k","overTAC landings",4485
"157","2021","val","cod.27.7e-k","legal landings",0
"158","2021","val","had.27.7b-k","legal landings",18425
"159","2021","val","meg.27.7b-k8abd","legal landings",19030
"160","2021","val","mon.27.78abd","legal landings",32784.67
"161","2021","val","nep.fu.16","legal landings",3290
"162","2021","val","nep.fu.17","legal landings",194.26
"163","2021","val","nep.fu.19","legal landings",180.09
"164","2021","val","nep.fu.2021","legal landings",1382.6
"165","2021","val","nep.fu.22","legal landings",1331.24
"166","2021","val","nep.out.7","legal landings",142.8
"167","2021","val","sol.27.7fg","legal landings",1364
"168","2021","val","whg.27.7b-ce-k","legal landings",5265
"169","2021","val","cod.27.7e-k","discards",0
"170","2021","val","had.27.7b-k","discards",0
"171","2021","val","meg.27.7b-k8abd","discards",0
"172","2021","val","mon.27.78abd","discards",0
"173","2021","val","nep.fu.16","discards",0
"174","2021","val","nep.fu.17","discards",0
"175","2021","val","nep.fu.19","discards",0
"176","2021","val","nep.fu.2021","discards",0
"177","2021","val","nep.fu.22","discards",0
"178","2021","val","nep.out.7","discards",0
"179","2021","val","sol.27.7fg","discards",0
"180","2021","val","whg.27.7b-ce-k","discards",0
"181","2021","val","cod.27.7e-k","overTAC landings",2631
"182","2021","val","had.27.7b-k","overTAC landings",1362
"183","2021","val","meg.27.7b-k8abd","overTAC landings",894.9
"184","2021","val","mon.27.78abd","overTAC landings",0
"185","2021","val","nep.fu.16","overTAC landings",252.98
"186","2021","val","nep.fu.17","overTAC landings",0
"187","2021","val","nep.fu.19","overTAC landings",0
"188","2021","val","nep.fu.2021","overTAC landings",0
"189","2021","val","nep.fu.22","overTAC landings",0
"190","2021","val","nep.out.7","overTAC landings",0
"191","2021","val","sol.27.7fg","overTAC landings",0
"192","2021","val","whg.27.7b-ce-k","overTAC landings",3651
"193","2021","had.27.7b-k","cod.27.7e-k","legal landings",0
"194","2021","had.27.7b-k","had.27.7b-k","legal landings",18425
"195","2021","had.27.7b-k","meg.27.7b-k8abd","legal landings",16951.68
"196","2021","had.27.7b-k","mon.27.78abd","legal landings",28701.65
"197","2021","had.27.7b-k","nep.fu.16","legal landings",3290
"198","2021","had.27.7b-k","nep.fu.17","legal landings",202.45
"199","2021","had.27.7b-k","nep.fu.19","legal landings",189.17
"200","2021","had.27.7b-k","nep.fu.2021","legal landings",1290.18
"201","2021","had.27.7b-k","nep.fu.22","legal landings",1371
"202","2021","had.27.7b-k","nep.out.7","legal landings",150
"203","2021","had.27.7b-k","sol.27.7fg","legal landings",688
"204","2021","had.27.7b-k","whg.27.7b-ce-k","legal landings",5265
"205","2021","had.27.7b-k","cod.27.7e-k","discards",0
"206","2021","had.27.7b-k","had.27.7b-k","discards",0
"207","2021","had.27.7b-k","meg.27.7b-k8abd","discards",0
"208","2021","had.27.7b-k","mon.27.78abd","discards",0
"209","2021","had.27.7b-k","nep.fu.16","discards",0
"210","2021","had.27.7b-k","nep.fu.17","discards",0
"211","2021","had.27.7b-k","nep.fu.19","discards",0
"212","2021","had.27.7b-k","nep.fu.2021","discards",0
"213","2021","had.27.7b-k","nep.fu.22","discards",0
"214","2021","had.27.7b-k","nep.out.7","discards",0
"215","2021","had.27.7b-k","sol.27.7fg","discards",0
"216","2021","had.27.7b-k","whg.27.7b-ce-k","discards",0
"217","2021","had.27.7b-k","cod.27.7e-k","overTAC landings",2548
"218","2021","had.27.7b-k","had.27.7b-k","overTAC landings",27
"219","2021","had.27.7b-k","meg.27.7b-k8abd","overTAC landings",0
"220","2021","had.27.7b-k","mon.27.78abd","overTAC landings",0
"221","2021","had.27.7b-k","nep.fu.16","overTAC landings",652.3
"222","2021","had.27.7b-k","nep.fu.17","overTAC landings",0
"223","2021","had.27.7b-k","nep.fu.19","overTAC landings",0
"224","2021","had.27.7b-k","nep.fu.2021","overTAC landings",0
"225","2021","had.27.7b-k","nep.fu.22","overTAC landings",77.68
"226","2021","had.27.7b-k","nep.out.7","overTAC landings",2.31
"227","2021","had.27.7b-k","sol.27.7fg","overTAC landings",0
"228","2021","had.27.7b-k","whg.27.7b-ce-k","overTAC landings",3428
"229","2021","whg.27.7b-ce-k","cod.27.7e-k","legal landings",0
"230","2021","whg.27.7b-ce-k","had.27.7b-k","legal landings",10815
"231","2021","whg.27.7b-ce-k","meg.27.7b-k8abd","legal landings",10355.3
"232","2021","whg.27.7b-ce-k","mon.27.78abd","legal landings",17808.32
"233","2021","whg.27.7b-ce-k","nep.fu.16","legal landings",2180.7
"234","2021","whg.27.7b-ce-k","nep.fu.17","legal landings",119.45
"235","2021","whg.27.7b-ce-k","nep.fu.19","legal landings",109.25
"236","2021","whg.27.7b-ce-k","nep.fu.2021","legal landings",795.43
"237","2021","whg.27.7b-ce-k","nep.fu.22","legal landings",826.62
"238","2021","whg.27.7b-ce-k","nep.out.7","legal landings",86.81
"239","2021","whg.27.7b-ce-k","sol.27.7fg","legal landings",459
"240","2021","whg.27.7b-ce-k","whg.27.7b-ce-k","legal landings",5263
"241","2021","whg.27.7b-ce-k","cod.27.7e-k","discards",0
"242","2021","whg.27.7b-ce-k","had.27.7b-k","discards",0
"243","2021","whg.27.7b-ce-k","meg.27.7b-k8abd","discards",0
"244","2021","whg.27.7b-ce-k","mon.27.78abd","discards",0
"245","2021","whg.27.7b-ce-k","nep.fu.16","discards",0
"246","2021","whg.27.7b-ce-k","nep.fu.17","discards",0
"247","2021","whg.27.7b-ce-k","nep.fu.19","discards",0
"248","2021","whg.27.7b-ce-k","nep.fu.2021","discards",0
"249","2021","whg.27.7b-ce-k","nep.fu.22","discards",0
"250","2021","whg.27.7b-ce-k","nep.out.7","discards",0
"251","2021","whg.27.7b-ce-k","sol.27.7fg","discards",0
"252","2021","whg.27.7b-ce-k","whg.27.7b-ce-k","discards",0
"253","2021","whg.27.7b-ce-k","cod.27.7e-k","overTAC landings",1669
"254","2021","whg.27.7b-ce-k","had.27.7b-k","overTAC landings",0
"255","2021","whg.27.7b-ce-k","meg.27.7b-k8abd","overTAC landings",0
"256","2021","whg.27.7b-ce-k","mon.27.78abd","overTAC landings",0
"257","2021","whg.27.7b-ce-k","nep.fu.16","overTAC landings",0
"258","2021","whg.27.7b-ce-k","nep.fu.17","overTAC landings",0
"259","2021","whg.27.7b-ce-k","nep.fu.19","overTAC landings",0
"260","2021","whg.27.7b-ce-k","nep.fu.2021","overTAC landings",0
"261","2021","whg.27.7b-ce-k","nep.fu.22","overTAC landings",0
"262","2021","whg.27.7b-ce-k","nep.out.7","overTAC landings",0
"263","2021","whg.27.7b-ce-k","sol.27.7fg","overTAC landings",0
"264","2021","whg.27.7b-ce-k","whg.27.7b-ce-k","overTAC landings",0
"265","2021","cod_fmsy","cod.27.7e-k","legal landings",0
"266","2021","cod_fmsy","had.27.7b-k","legal landings",3314
"267","2021","cod_fmsy","meg.27.7b-k8abd","legal landings",2561.88
"268","2021","cod_fmsy","mon.27.78abd","legal landings",4640.58
"269","2021","cod_fmsy","nep.fu.16","legal landings",484.6
"270","2021","cod_fmsy","nep.fu.17","legal landings",26.4
"271","2021","cod_fmsy","nep.fu.19","legal landings",24.84
"272","2021","cod_fmsy","nep.fu.2021","legal landings",192.63
"273","2021","cod_fmsy","nep.fu.22","legal landings",183.11
"274","2021","cod_fmsy","nep.out.7","legal landings",19.63
"275","2021","cod_fmsy","sol.27.7fg","legal landings",183
"276","2021","cod_fmsy","whg.27.7b-ce-k","legal landings",1564
"277","2021","cod_fmsy","cod.27.7e-k","discards",0
"278","2021","cod_fmsy","had.27.7b-k","discards",0
"279","2021","cod_fmsy","meg.27.7b-k8abd","discards",0
"280","2021","cod_fmsy","mon.27.78abd","discards",0
"281","2021","cod_fmsy","nep.fu.16","discards",0
"282","2021","cod_fmsy","nep.fu.17","discards",0
"283","2021","cod_fmsy","nep.fu.19","discards",0
"284","2021","cod_fmsy","nep.fu.2021","discards",0
"285","2021","cod_fmsy","nep.fu.22","discards",0
"286","2021","cod_fmsy","nep.out.7","discards",0
"287","2021","cod_fmsy","sol.27.7fg","discards",0
"288","2021","cod_fmsy","whg.27.7b-ce-k","discards",0
"289","2021","cod_fmsy","cod.27.7e-k","overTAC landings",544
"290","2021","cod_fmsy","had.27.7b-k","overTAC landings",0
"291","2021","cod_fmsy","meg.27.7b-k8abd","overTAC landings",0
"292","2021","cod_fmsy","mon.27.78abd","overTAC landings",0
"293","2021","cod_fmsy","nep.fu.16","overTAC landings",0
"294","2021","cod_fmsy","nep.fu.17","overTAC landings",0
"295","2021","cod_fmsy","nep.fu.19","overTAC landings",0
"296","2021","cod_fmsy","nep.fu.2021","overTAC landings",0
"297","2021","cod_fmsy","nep.fu.22","overTAC landings",0
"298","2021","cod_fmsy","nep.out.7","overTAC landings",0
"299","2021","cod_fmsy","sol.27.7fg","overTAC landings",0
"300","2021","cod_fmsy","whg.27.7b-ce-k","overTAC landings",0
