"","sc","year","stock","value","data"
"1","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","catch",1056
"2","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","discards",0
"3","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","Fbar",0.477
"4","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","FmultVsF19",0.42
"5","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","landings",1056
"6","01_Reproduce_the_advice_Celtic_Sea_2020","2020","cod.27.7e-k","ssb",1587
"7","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","catch",20278
"8","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","discards",0
"9","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","Fbar",0.406
"10","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","FmultVsF19",1
"11","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","landings",20278
"12","01_Reproduce_the_advice_Celtic_Sea_2020","2020","had.27.7b-k","ssb",66461
"13","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","catch",20124
"14","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","discards",0
"15","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","Fbar",0.21
"16","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","FmultVsF19",1.2
"17","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","landings",20124
"18","01_Reproduce_the_advice_Celtic_Sea_2020","2020","meg.27.7b-k8abd","ssb",106654
"19","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","catch",24349
"20","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","discards",0
"21","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","Fbar",0.22
"22","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","FmultVsF19",1
"23","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","landings",24349
"24","01_Reproduce_the_advice_Celtic_Sea_2020","2020","mon.27.78abd","ssb",68952
"25","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","catch",8071
"26","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards",0
"27","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards.dead",NA
"28","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","discards.surviving",NA
"29","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","Fbar",NA
"30","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","FmultVsF19",NA
"31","01_Reproduce_the_advice_Celtic_Sea_2020","2020","nep.27.7bk","landings",8071
"32","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","catch",1652
"33","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","discards",0
"34","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","Fbar",0.296
"35","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","FmultVsF19",1.25
"36","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","landings",1652
"37","01_Reproduce_the_advice_Celtic_Sea_2020","2020","sol.27.7fg","ssb",6286
"38","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","catch",8750
"39","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","discards",0
"40","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","Fbar",0.495
"41","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","FmultVsF19",1.4
"42","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","landings",8750
"43","01_Reproduce_the_advice_Celtic_Sea_2020","2020","whg.27.7b-ce-k","ssb",30976
"44","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","catch",0
"45","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","discards",0
"46","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","Fbar",0
"47","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","FmultVsF19",0
"48","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","landings",0
"49","01_Reproduce_the_advice_Celtic_Sea_2020","2021","cod.27.7e-k","ssb",2942
"50","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","catch",18425
"51","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","discards",0
"52","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","Fbar",0.353
"53","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","FmultVsF19",0.87
"54","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","landings",18425
"55","01_Reproduce_the_advice_Celtic_Sea_2020","2021","had.27.7b-k","ssb",71490
"56","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","catch",19030
"57","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","discards",0
"58","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","Fbar",0.19
"59","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","FmultVsF19",1.08
"60","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","landings",19030
"61","01_Reproduce_the_advice_Celtic_Sea_2020","2021","meg.27.7b-k8abd","ssb",110436
"62","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","catch",34577
"63","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","discards",0
"64","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","Fbar",0.28
"65","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","FmultVsF19",1.28
"66","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","landings",34577
"67","01_Reproduce_the_advice_Celtic_Sea_2020","2021","mon.27.78abd","ssb",72213
"68","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","catch",7813
"69","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","discards",697
"70","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","discards.dead",NA
"71","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","discards.surviving",NA
"72","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","Fbar",NA
"73","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","FmultVsF19",NA
"74","01_Reproduce_the_advice_Celtic_Sea_2020","2021","nep.27.7bk","landings",7117
"75","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","catch",1417
"76","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","discards",0
"77","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","Fbar",0.251
"78","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","FmultVsF19",1.04
"79","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","landings",1417
"80","01_Reproduce_the_advice_Celtic_Sea_2020","2021","sol.27.7fg","ssb",6194
"81","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","catch",5265
"82","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","discards",0
"83","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","Fbar",0.268
"84","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","FmultVsF19",0.75
"85","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","landings",5265
"86","01_Reproduce_the_advice_Celtic_Sea_2020","2021","whg.27.7b-ce-k","ssb",32029
"87","01_Reproduce_the_advice_Celtic_Sea_2020","2022","cod.27.7e-k","ssb",6075
"88","01_Reproduce_the_advice_Celtic_Sea_2020","2022","had.27.7b-k","ssb",69915
"89","01_Reproduce_the_advice_Celtic_Sea_2020","2022","meg.27.7b-k8abd","ssb",114497
"90","01_Reproduce_the_advice_Celtic_Sea_2020","2022","mon.27.78abd","ssb",80416
"91","01_Reproduce_the_advice_Celtic_Sea_2020","2022","sol.27.7fg","ssb",5997
"92","01_Reproduce_the_advice_Celtic_Sea_2020","2022","whg.27.7b-ce-k","ssb",37472
"93","cod_FARMSY","2020","cod.27.7e-k","discards",0
"94","cod_FARMSY","2020","cod.27.7e-k","Fbar",0.477
"95","cod_FARMSY","2020","cod.27.7e-k","FmultVsF19",0.540961170687532
"96","cod_FARMSY","2020","cod.27.7e-k","landings",1056
"97","cod_FARMSY","2020","cod.27.7e-k","ssb",1587
"98","cod_FARMSY","2020","had.27.7b-k","discards",0
"99","cod_FARMSY","2020","had.27.7b-k","Fbar",0.406
"100","cod_FARMSY","2020","had.27.7b-k","FmultVsF19",0.164765661814518
"101","cod_FARMSY","2020","had.27.7b-k","landings",20126
"102","cod_FARMSY","2020","had.27.7b-k","ssb",66443
"103","cod_FARMSY","2020","meg.27.7b-k8abd","discards",0
"104","cod_FARMSY","2020","meg.27.7b-k8abd","Fbar",0.212741780334974
"105","cod_FARMSY","2020","meg.27.7b-k8abd","FmultVsF19",1.2
"106","cod_FARMSY","2020","meg.27.7b-k8abd","landings",20124
"107","cod_FARMSY","2020","meg.27.7b-k8abd","ssb",106654
"108","cod_FARMSY","2020","mon.27.78abd","discards",0
"109","cod_FARMSY","2020","mon.27.78abd","Fbar",0.219383
"110","cod_FARMSY","2020","mon.27.78abd","FmultVsF19",1
"111","cod_FARMSY","2020","mon.27.78abd","landings",24349
"112","cod_FARMSY","2020","mon.27.78abd","ssb",68952
"113","cod_FARMSY","2020","nep.27.7bk","Fbar",NA
"114","cod_FARMSY","2020","nep.27.7bk","FmultVsF19",NA
"115","cod_FARMSY","2020","nep.27.7bk","landings",NA
"116","cod_FARMSY","2020","sol.27.7fg","discards",0
"117","cod_FARMSY","2020","sol.27.7fg","Fbar",0.296
"118","cod_FARMSY","2020","sol.27.7fg","FmultVsF19",0.0715682542647043
"119","cod_FARMSY","2020","sol.27.7fg","landings",1652
"120","cod_FARMSY","2020","sol.27.7fg","ssb",6286
"121","cod_FARMSY","2020","whg.27.7b-ce-k","discards",0
"122","cod_FARMSY","2020","whg.27.7b-ce-k","Fbar",0.495
"123","cod_FARMSY","2020","whg.27.7b-ce-k","FmultVsF19",0.176088235379835
"124","cod_FARMSY","2020","whg.27.7b-ce-k","landings",8744
"125","cod_FARMSY","2020","whg.27.7b-ce-k","ssb",30956
"126","cod_FARMSY","2021","cod.27.7e-k","discards",0
"127","cod_FARMSY","2021","cod.27.7e-k","Fbar",0.147
"128","cod_FARMSY","2021","cod.27.7e-k","FmultVsF19",0.166711304174145
"129","cod_FARMSY","2021","cod.27.7e-k","landings",544
"130","cod_FARMSY","2021","cod.27.7e-k","ssb",2942
"131","cod_FARMSY","2021","had.27.7b-k","discards",0
"132","cod_FARMSY","2021","had.27.7b-k","Fbar",0.056
"133","cod_FARMSY","2021","had.27.7b-k","FmultVsF19",0.0227262981813129
"134","cod_FARMSY","2021","had.27.7b-k","landings",3297
"135","cod_FARMSY","2021","had.27.7b-k","ssb",71577
"136","cod_FARMSY","2021","meg.27.7b-k8abd","discards",0
"137","cod_FARMSY","2021","meg.27.7b-k8abd","Fbar",0.0236828519751608
"138","cod_FARMSY","2021","meg.27.7b-k8abd","FmultVsF19",0.13
"139","cod_FARMSY","2021","meg.27.7b-k8abd","landings",2562
"140","cod_FARMSY","2021","meg.27.7b-k8abd","ssb",110436
"141","cod_FARMSY","2021","mon.27.78abd","discards",0
"142","cod_FARMSY","2021","mon.27.78abd","Fbar",0.0337687685836649
"143","cod_FARMSY","2021","mon.27.78abd","FmultVsF19",0.15
"144","cod_FARMSY","2021","mon.27.78abd","landings",4641
"145","cod_FARMSY","2021","mon.27.78abd","ssb",72213
"146","cod_FARMSY","2021","nep.27.7bk","Fbar",NA
"147","cod_FARMSY","2021","nep.27.7bk","FmultVsF19",NA
"148","cod_FARMSY","2021","nep.27.7bk","landings",931.209058384117
"149","cod_FARMSY","2021","sol.27.7fg","discards",0
"150","cod_FARMSY","2021","sol.27.7fg","Fbar",0.029
"151","cod_FARMSY","2021","sol.27.7fg","FmultVsF19",0.00701175464079873
"152","cod_FARMSY","2021","sol.27.7fg","landings",183
"153","cod_FARMSY","2021","sol.27.7fg","ssb",6194
"154","cod_FARMSY","2021","whg.27.7b-ce-k","discards",0
"155","cod_FARMSY","2021","whg.27.7b-ce-k","Fbar",0.073
"156","cod_FARMSY","2021","whg.27.7b-ce-k","FmultVsF19",0.0259685680459151
"157","cod_FARMSY","2021","whg.27.7b-ce-k","landings",1563
"158","cod_FARMSY","2021","whg.27.7b-ce-k","ssb",32069
"159","cod_FARMSY","2022","cod.27.7e-k","ssb",5272
"160","cod_FARMSY","2022","had.27.7b-k","ssb",87795
"161","cod_FARMSY","2022","meg.27.7b-k8abd","ssb",132074
"162","cod_FARMSY","2022","mon.27.78abd","ssb",99861
"163","cod_FARMSY","2022","sol.27.7fg","ssb",7273
"164","cod_FARMSY","2022","whg.27.7b-ce-k","ssb",40652
"165","had.27.7b-k","2020","cod.27.7e-k","discards",0
"166","had.27.7b-k","2020","cod.27.7e-k","Fbar",0.477
"167","had.27.7b-k","2020","cod.27.7e-k","FmultVsF19",0.540961170687532
"168","had.27.7b-k","2020","cod.27.7e-k","landings",1056
"169","had.27.7b-k","2020","cod.27.7e-k","ssb",1587
"170","had.27.7b-k","2020","had.27.7b-k","discards",0
"171","had.27.7b-k","2020","had.27.7b-k","Fbar",0.406
"172","had.27.7b-k","2020","had.27.7b-k","FmultVsF19",0.164765661814518
"173","had.27.7b-k","2020","had.27.7b-k","landings",20277
"174","had.27.7b-k","2020","had.27.7b-k","ssb",66478
"175","had.27.7b-k","2020","meg.27.7b-k8abd","discards",0
"176","had.27.7b-k","2020","meg.27.7b-k8abd","Fbar",0.212741780334974
"177","had.27.7b-k","2020","meg.27.7b-k8abd","FmultVsF19",1.2
"178","had.27.7b-k","2020","meg.27.7b-k8abd","landings",20124
"179","had.27.7b-k","2020","meg.27.7b-k8abd","ssb",106654
"180","had.27.7b-k","2020","mon.27.78abd","discards",0
"181","had.27.7b-k","2020","mon.27.78abd","Fbar",0.219383
"182","had.27.7b-k","2020","mon.27.78abd","FmultVsF19",1
"183","had.27.7b-k","2020","mon.27.78abd","landings",24349
"184","had.27.7b-k","2020","mon.27.78abd","ssb",68952
"185","had.27.7b-k","2020","nep.27.7bk","Fbar",NA
"186","had.27.7b-k","2020","nep.27.7bk","FmultVsF19",NA
"187","had.27.7b-k","2020","nep.27.7bk","landings",NA
"188","had.27.7b-k","2020","sol.27.7fg","discards",0
"189","had.27.7b-k","2020","sol.27.7fg","Fbar",0.296
"190","had.27.7b-k","2020","sol.27.7fg","FmultVsF19",0.0715682542647043
"191","had.27.7b-k","2020","sol.27.7fg","landings",1652
"192","had.27.7b-k","2020","sol.27.7fg","ssb",6286
"193","had.27.7b-k","2020","whg.27.7b-ce-k","discards",0
"194","had.27.7b-k","2020","whg.27.7b-ce-k","Fbar",0.495
"195","had.27.7b-k","2020","whg.27.7b-ce-k","FmultVsF19",0.176088235379835
"196","had.27.7b-k","2020","whg.27.7b-ce-k","landings",8719
"197","had.27.7b-k","2020","whg.27.7b-ce-k","ssb",30961
"198","had.27.7b-k","2021","cod.27.7e-k","discards",0
"199","had.27.7b-k","2021","cod.27.7e-k","Fbar",0.982
"200","had.27.7b-k","2021","cod.27.7e-k","FmultVsF19",1.11367687550347
"201","had.27.7b-k","2021","cod.27.7e-k","landings",2548
"202","had.27.7b-k","2021","cod.27.7e-k","ssb",2942
"203","had.27.7b-k","2021","had.27.7b-k","discards",0
"204","had.27.7b-k","2021","had.27.7b-k","Fbar",0.353
"205","had.27.7b-k","2021","had.27.7b-k","FmultVsF19",0.143256843892919
"206","had.27.7b-k","2021","had.27.7b-k","landings",18416
"207","had.27.7b-k","2021","had.27.7b-k","ssb",71716
"208","had.27.7b-k","2021","meg.27.7b-k8abd","discards",0
"209","had.27.7b-k","2021","meg.27.7b-k8abd","Fbar",0.168285123388733
"210","had.27.7b-k","2021","meg.27.7b-k8abd","FmultVsF19",0.95
"211","had.27.7b-k","2021","meg.27.7b-k8abd","landings",16952
"212","had.27.7b-k","2021","meg.27.7b-k8abd","ssb",110436
"213","had.27.7b-k","2021","mon.27.78abd","discards",0
"214","had.27.7b-k","2021","mon.27.78abd","Fbar",0.22726346641304
"215","had.27.7b-k","2021","mon.27.78abd","FmultVsF19",1.04
"216","had.27.7b-k","2021","mon.27.78abd","landings",28702
"217","had.27.7b-k","2021","mon.27.78abd","ssb",72213
"218","had.27.7b-k","2021","nep.27.7bk","Fbar",NA
"219","had.27.7b-k","2021","nep.27.7bk","FmultVsF19",NA
"220","had.27.7b-k","2021","nep.27.7bk","landings",7225.09241062172
"221","had.27.7b-k","2021","sol.27.7fg","discards",0
"222","had.27.7b-k","2021","sol.27.7fg","Fbar",0.114
"223","had.27.7b-k","2021","sol.27.7fg","FmultVsF19",0.0275634492776226
"224","had.27.7b-k","2021","sol.27.7fg","landings",688
"225","had.27.7b-k","2021","sol.27.7fg","ssb",6194
"226","had.27.7b-k","2021","whg.27.7b-ce-k","discards",0
"227","had.27.7b-k","2021","whg.27.7b-ce-k","Fbar",0.485
"228","had.27.7b-k","2021","whg.27.7b-ce-k","FmultVsF19",0.172530897291354
"229","had.27.7b-k","2021","whg.27.7b-ce-k","landings",8667
"230","had.27.7b-k","2021","whg.27.7b-ce-k","ssb",32129
"231","had.27.7b-k","2022","cod.27.7e-k","ssb",2410
"232","had.27.7b-k","2022","had.27.7b-k","ssb",70379
"233","had.27.7b-k","2022","meg.27.7b-k8abd","ssb",116707
"234","had.27.7b-k","2022","mon.27.78abd","ssb",84203
"235","had.27.7b-k","2022","sol.27.7fg","ssb",6750
"236","had.27.7b-k","2022","whg.27.7b-ce-k","ssb",34720
"237","max","2020","cod.27.7e-k","discards",0
"238","max","2020","cod.27.7e-k","Fbar",0.477
"239","max","2020","cod.27.7e-k","FmultVsF19",0.540961170687532
"240","max","2020","cod.27.7e-k","landings",1056
"241","max","2020","cod.27.7e-k","ssb",1587
"242","max","2020","had.27.7b-k","discards",0
"243","max","2020","had.27.7b-k","Fbar",0.406
"244","max","2020","had.27.7b-k","FmultVsF19",0.164765661814518
"245","max","2020","had.27.7b-k","landings",20119
"246","max","2020","had.27.7b-k","ssb",66616
"247","max","2020","meg.27.7b-k8abd","discards",0
"248","max","2020","meg.27.7b-k8abd","Fbar",0.212741780334974
"249","max","2020","meg.27.7b-k8abd","FmultVsF19",1.2
"250","max","2020","meg.27.7b-k8abd","landings",20124
"251","max","2020","meg.27.7b-k8abd","ssb",106654
"252","max","2020","mon.27.78abd","discards",0
"253","max","2020","mon.27.78abd","Fbar",0.219383
"254","max","2020","mon.27.78abd","FmultVsF19",1
"255","max","2020","mon.27.78abd","landings",24349
"256","max","2020","mon.27.78abd","ssb",68952
"257","max","2020","nep.27.7bk","Fbar",NA
"258","max","2020","nep.27.7bk","FmultVsF19",NA
"259","max","2020","nep.27.7bk","landings",NA
"260","max","2020","sol.27.7fg","discards",0
"261","max","2020","sol.27.7fg","Fbar",0.296
"262","max","2020","sol.27.7fg","FmultVsF19",0.0715682542647043
"263","max","2020","sol.27.7fg","landings",1652
"264","max","2020","sol.27.7fg","ssb",6286
"265","max","2020","whg.27.7b-ce-k","discards",0
"266","max","2020","whg.27.7b-ce-k","Fbar",0.495
"267","max","2020","whg.27.7b-ce-k","FmultVsF19",0.176088235379835
"268","max","2020","whg.27.7b-ce-k","landings",8735
"269","max","2020","whg.27.7b-ce-k","ssb",30962
"270","max","2021","cod.27.7e-k","discards",0
"271","max","2021","cod.27.7e-k","Fbar",1.978
"272","max","2021","cod.27.7e-k","FmultVsF19",2.24323101807115
"273","max","2021","cod.27.7e-k","landings",3614
"274","max","2021","cod.27.7e-k","ssb",2942
"275","max","2021","had.27.7b-k","discards",0
"276","max","2021","had.27.7b-k","Fbar",0.667
"277","max","2021","had.27.7b-k","FmultVsF19",0.270686444409566
"278","max","2021","had.27.7b-k","landings",30907
"279","max","2021","had.27.7b-k","ssb",71538
"280","max","2021","meg.27.7b-k8abd","discards",0
"281","max","2021","meg.27.7b-k8abd","Fbar",0.511717665049347
"282","max","2021","meg.27.7b-k8abd","FmultVsF19",2.89
"283","max","2021","meg.27.7b-k8abd","landings",43915
"284","max","2021","meg.27.7b-k8abd","ssb",110436
"285","max","2021","mon.27.78abd","discards",0
"286","max","2021","mon.27.78abd","Fbar",0.56992328751437
"287","max","2021","mon.27.78abd","FmultVsF19",2.6
"288","max","2021","mon.27.78abd","landings",62462
"289","max","2021","mon.27.78abd","ssb",72213
"290","max","2021","nep.27.7bk","Fbar",NA
"291","max","2021","nep.27.7bk","FmultVsF19",NA
"292","max","2021","nep.27.7bk","landings",24193.4573423288
"293","max","2021","sol.27.7fg","discards",0
"294","max","2021","sol.27.7fg","Fbar",0.528
"295","max","2021","sol.27.7fg","FmultVsF19",0.127662291391094
"296","max","2021","sol.27.7fg","landings",2620
"297","max","2021","sol.27.7fg","ssb",6194
"298","max","2021","whg.27.7b-ce-k","discards",0
"299","max","2021","whg.27.7b-ce-k","Fbar",0.886
"300","max","2021","whg.27.7b-ce-k","FmultVsF19",0.315180154639463
"301","max","2021","whg.27.7b-ce-k","landings",13635
"302","max","2021","whg.27.7b-ce-k","ssb",32142
"303","max","2022","cod.27.7e-k","ssb",995
"304","max","2022","had.27.7b-k","ssb",56100
"305","max","2022","meg.27.7b-k8abd","ssb",88260
"306","max","2022","mon.27.78abd","ssb",62655
"307","max","2022","sol.27.7fg","ssb",4769
"308","max","2022","whg.27.7b-ce-k","ssb",30740
"309","min","2020","cod.27.7e-k","discards",0
"310","min","2020","cod.27.7e-k","Fbar",0.477
