ICES_submitted,ICES_mix_correct,ICES_FU,species_mix_FU
27.12,27.12,NA,NA
27.4,27.4,NA,NA
27.6,27.6,NA,NA
27.7,27.7,NA,NA
27.716,27.7.c,16,NEP.FU.16
27.719,27.7.j,19,NEP.FU.19
27.72021,27.7.g,2021,NEP.FU.2021
27.8,27.8,NA,NA
27.12.a,27.12.a,NA,NA
27.12.b,27.12.b,NA,NA
27.12.c,27.12.c,NA,NA
27.2.a,27.2.a,NA,NA
27.2.b,27.2.b,NA,NA
27.3.20,27.3.21,NA,NA
27.3.a,27.3.a,NA,NA
27.3.a.20,27.3.a,NA,NA
27.3.a.21,27.3.a,NA,NA
27.3.b.23,27.3.b,NA,NA
27.3.c.22,27.3.c,NA,NA
27.3.d,27.3.d,NA,NA
27.3.d.24,27.3.d,NA,NA
27.3.d.25,27.3.d,NA,NA
27.3.d.26,27.3.d,NA,NA
27.3.d.27,27.3.d,NA,NA
27.3.d.28,27.3.d,NA,NA
27.3.d.28.2,27.3.d,NA,NA
27.3.d.29,27.3.d,NA,NA
27.4.a,27.4.a,NA,NA
27.4.b,27.4.b,NA,NA
27.4.c,27.4.c,NA,NA
27.4.outFU,27.4,4outFU,NEP.OUT.4
27.5.b,27.5,NA,NA
27.5.b.1,27.5.b,NA,NA
27.5.b.2,27.5.b,NA,NA
27.6.a,27.6.a,NA,NA
27.6.a.outFU,27.6.a,6outFU,NEP.OUT.6
27.6.a11,27.6.a,12,NEP.FU.12
27.6.a12,27.6.a,12,NEP.FU.12
27.6.a13,27.6.a,13,NEP.FU.13
27.6.aNotFU,27.6.a,12,NEP.OUT.6
27.6.b,27.6.b,NA,NA
27.6.b.2,27.6.b,NA,NA
27.6.bNotFU,27.6.b,6outFU,NEP.OUT.6
27.7.a,27.7.a,NA,NA
27.7.a14,27.7.a,14,NEP.FU.14
27.7.a15,27.7.a,15,NEP.FU.15
27.7.b,27.7.b,NA,NA
27.7.b17,27.7.b,17,NEP.FU.17
27.7.c,27.7.c,NA,NA
27.7.c.2,27.7.c,NA,NA
27.7.d,27.7.d,NA,NA
27.7.e,27.7.e,NA,NA
27.7.f,27.7.f,NA,NA
27.7.g,27.7.g,NA,NA
27.7.g22,27.7.g,22,NEP.FU.22
27.7.h,27.7.h,NA,NA
27.7.j,27.7.j,NA,NA
27.7.j.2,27.7.j,NA,NA
27.7.k,27.7.k,NA,NA
27.7.k.2,27.7.k,NA,NA
27.7.outFU,27.7,7outFU,NEP.OUT.7
27.7NotFU,27.7,7outFU,NEP.OUT.7
27.8.a,27.8.a,NA,NA
27.8.abd,27.8,NA,NA
27.8.b,27.8.b,NA,NA
27.8.c,27.8.c,NA,NA
27.8.c.e,27.8.c,NA,NA
27.8.c.w,27.8.c,NA,NA
27.8.d,27.8.d,NA,NA
27.8.d.2,27.8.d,NA,NA
27.8.e,27.8.e,NA,NA
27.9.a,27.9.a,NA,NA
27.9.b,27.9.b,NA,NA
34.1.1,34.1.1,NA,NA
34.1.1.1,34.1.1.1,NA,NA
47.1.1,47.1.1,NA,NA
47.1.3,47.1.3,NA,NA
8a,27.8.a,NA,NA
8b,27.8.b,NA,NA
8c,27.8.c,NA,NA
8d EU,27.8.d,NA,NA
8d RFMO,27.8.d,NA,NA
8e EU,27.8.e,NA,NA
8e RFMO,27.8.e,NA,NA
9a,27.9.a,NA,NA
9b RFMO,27.9.b,NA,NA
FU.10,27.4.a,10,NEP.FU.10
FU.11,27.6.a,11,NEP.FU.11
FU.12,27.6.a,12,NEP.FU.12
FU.13,27.6.a,13,NEP.FU.13
FU.14,27.7.a,14,NEP.FU.14
FU.15,27.7.a,15,NEP.FU.15
FU.16,27.7.c,16,NEP.FU.16
FU.17,27.7.b,17,NEP.FU.17
FU.19,27.7.j,19,NEP.FU.19
FU.20-21,27.7.g,2021,NEP.FU.20.21
FU.22,27.7.g,22,NEP.FU.22
FU.23-24,27.7.a,2324,NEP.FU.23.24
FU.32,27.4.b,32,NEP.FU.32
FU.33,27.4.b,33,NEP.FU.33
FU.34,27.4.b,34,NEP.FU.34
FU.3-4,27.3,3.4,NEP.FU.3.4
FU.5,27.4.b,5,NEP.FU.5
FU.6,27.4.b,6,NEP.FU.6
FU.7,27.4.a,7,NEP.FU.7
FU.8,27.4.b,8,NEP.FU.8
FU.9,27.4.a,9,NEP.FU.9
IIIaN,27.3.a,NA,NA
IV,27.4,NA,NA
IV32,27.4,NA,NA
IV5,27.4,NA,NA
IVa10,27.4.a,NA,NA
IVa7,27.4.a,NA,NA
IVa9,27.4.a,NA,NA
IVab32,27.4.a,NA,NA
IVaNotFU,27.4,NA,NEP.OUT.4
IVb33,27.7.b,33,NEP.FU.33
IVb34,27.4.b,NA,NA
IVb6,27.4.b,NA,NA
IVb8,27.4.b,NA,NA
IVbc5,27.4.b,NA,NA
IVbNotFU,27.4,NA,NEP.OUT.4
IVcNotFU,27.4,NA,NEP.OUT.4
IVnotFU,27.4,NA,NEP.OUT.4
VIa,27.6.a,NA,NA
VIa11,27.6.a,11,NEP.FU.11
VIa12,27.6.a,12,NEP.FU.12
VIa13,27.6.a,13,NEP.FU.13
VIanotFU,27.6.a,NA,NEP.OUT.6
VIb,27.6.b,NA,NA
VII16,27.7.j,16,NEP.FU.16
VII19,27.7.j,19,NEP.FU.19
VII2021,27.7.g,2021,NEP.FU.20.21
VIIa,27.7.a,NA,NA
VIIa14,27.7.a,14,NEP.FU.14
VIIa15,27.7.a,15,NEP.FU.15
VIIagj19,27.7.j,19,NEP.FU.19
VIIaNotFU,27.7.a,NA,NEP.OUT.7
VIIb,27.7.b,NA,NA
VIIb17,27.7.b,17,NEP.FU.17
VIIbc,27.7.b,NA,NA
VIIbcjk16,27.7.c,16,NEP.FU.16
VIIbcNotFU,27.7,NA,NEP.OUT.7
VIId,27.7.d,NA,NA
VIIe,27.7.e,NA,NA
VIIfg,27.7.f,NA,NA
VIIfgNotFU,27.7,NA,NEP.OUT.7
VIIg,27.7.g,NA,NA
VIIg22,27.7.g,22,NEP.FU.22
VIIgh2021,27.7.g,2021,NEP.FU.20.21
VIIh,27.7.h,NA,NA
VIIhNotFU,27.7,NA,NEP.OUT.7
VIIj,27.7.j,NA,NA
VIIjkNotFU,27.7,NA,NEP.OUT.7
VIInotFU,27.7,NA,NEP.OUT.7
27.3.d.30,27.3.d,NA,NA
27.3.d.31,27.3.d,NA,NA
27.3.d.32,27.3.d,NA,NA
27.6.b.1,27.6.b,NA,NA
27.7.c.1,27.7.c,NA,NA
27.7.j.1,27.7.j,NA,NA
27.7.k.1,27.7.k,NA,NA
27.8.d.1,27.8.d,NA,NA
27.3.d.28.1,27.3.d,NA,NA
 27.3.d.26,27.3.d,NA,NA
27.10.b,27.10.b,NA,NA
27.10.a,27.10.a,NA,NA
27.14.b,27.14.b,NA,NA
27.14.a,27.14.a,NA,NA
27.8.e.1,27.8.e,NA,NA
27.10.a.1,27.10.a,NA,NA
27.10.a.2,27.10.a,NA,NA
27.9.b.2,27.9.b,NA,NA
27.2.a.2,27.2.a,NA,NA
27.9.b.1,27.9.b,NA,NA
27.2.b.2,27.2.b,NA,NA
27.2.a.1,27.2.a,NA,NA
27.8.e.2,27.8.e,NA,NA
