"","Stock","Year","Country","Landings"
"1","cod.27.7e-k",2009,"BE",48.319
"2","had.27.7b-k",2009,"BE",129.697
"3","meg.27.7b-k8abd",2009,"BE",194.833908
"4","mon.27.78abd",2009,"BE",502.253
"5","nep.fu.2021",2009,"BE",0.906
"6","nep.fu.22",2009,"BE",12.076
"7","nep.out.7",2009,"BE",1.408
"8","sol.27.7fg",2009,"BE",503.923
"9","whg.27.7b-ce-k",2009,"BE",86.924
"10","cod.27.7e-k",2010,"BE",52.49
"11","had.27.7b-k",2010,"BE",172.32
"12","meg.27.7b-k8abd",2010,"BE",247.65552
"13","mon.27.78abd",2010,"BE",700.639
"14","nep.fu.2021",2010,"BE",0.039
"15","nep.fu.22",2010,"BE",14.912
"16","nep.out.7",2010,"BE",0.121
"17","sol.27.7fg",2010,"BE",622.682
"18","whg.27.7b-ce-k",2010,"BE",102.674
"19","cod.27.7e-k",2011,"BE",123.318
"20","had.27.7b-k",2011,"BE",212.466
"21","meg.27.7b-k8abd",2011,"BE",306.020088
"22","mon.27.78abd",2011,"BE",941.302
"23","nep.fu.2021",2011,"BE",0.157
"24","nep.fu.22",2011,"BE",7.241
"25","nep.out.7",2011,"BE",0.119
"26","sol.27.7fg",2011,"BE",774.594
"27","whg.27.7b-ce-k",2011,"BE",99.366
"28","cod.27.7e-k",2012,"BE",289.764
"29","had.27.7b-k",2012,"BE",235.501
"30","meg.27.7b-k8abd",2012,"BE",570.142368
"31","mon.27.78abd",2012,"BE",1320.667
"32","nep.fu.22",2012,"BE",6.046
"33","nep.out.7",2012,"BE",0.03
"34","sol.27.7fg",2012,"BE",842.599
"35","whg.27.7b-ce-k",2012,"BE",170.561
"36","cod.27.7e-k",2013,"BE",202.177
"37","had.27.7b-k",2013,"BE",174.692
"38","meg.27.7b-k8abd",2013,"BE",491.360724
"39","mon.27.78abd",2013,"BE",1090.584
"40","nep.fu.19",2013,"BE",0.059
"41","nep.fu.2021",2013,"BE",0.023
"42","nep.fu.22",2013,"BE",12.284
"43","nep.out.7",2013,"BE",0.539
"44","sol.27.7fg",2013,"BE",788.269
"45","whg.27.7b-ce-k",2013,"BE",225.851
"46","cod.27.7e-k",2014,"BE",141.428
"47","had.27.7b-k",2014,"BE",99.775
"48","meg.27.7b-k8abd",2014,"BE",157.758576
"49","mon.27.78abd",2014,"BE",464.485
"50","nep.fu.2021",2014,"BE",0.033
"51","nep.fu.22",2014,"BE",7.971
"52","nep.out.7",2014,"BE",0.193
"53","sol.27.7fg",2014,"BE",703.108
"54","whg.27.7b-ce-k",2014,"BE",222.42
"55","cod.27.7e-k",2015,"BE",120.632
"56","had.27.7b-k",2015,"BE",118.533
"57","meg.27.7b-k8abd",2015,"BE",228.868056
"58","mon.27.78abd",2015,"BE",713.649
"59","nep.fu.2021",2015,"BE",0.359
"60","nep.fu.22",2015,"BE",4.658
"61","nep.out.7",2015,"BE",0.374
"62","sol.27.7fg",2015,"BE",673.806
"63","whg.27.7b-ce-k",2015,"BE",152.026
"64","cod.27.7e-k",2016,"BE",96.841
"65","had.27.7b-k",2016,"BE",89.866
"66","meg.27.7b-k8abd",2016,"BE",273.504636
"67","mon.27.78abd",2016,"BE",958.371
"68","nep.fu.2021",2016,"BE",0.195
"69","nep.fu.22",2016,"BE",2.773
"70","nep.out.7",2016,"BE",0.3
"71","sol.27.7fg",2016,"BE",563.494
"72","whg.27.7b-ce-k",2016,"BE",185.98
"73","cod.27.7e-k",2017,"BE",81.981
"74","had.27.7b-k",2017,"BE",111.349
"75","meg.27.7b-k8abd",2017,"BE",327.876228
"76","mon.27.78abd",2017,"BE",1197.467
"77","nep.fu.2021",2017,"BE",0.153
"78","nep.fu.22",2017,"BE",0.874
"79","nep.out.7",2017,"BE",0.099
"80","sol.27.7fg",2017,"BE",550.561
"81","whg.27.7b-ce-k",2017,"BE",102.404
"82","cod.27.7e-k",2018,"BE",48.616
"83","had.27.7b-k",2018,"BE",89.187
"84","meg.27.7b-k8abd",2018,"BE",314.673432
"85","mon.27.78abd",2018,"BE",767.476
"86","nep.fu.2021",2018,"BE",0.214
"87","nep.fu.22",2018,"BE",1.094
"88","nep.out.7",2018,"BE",0.042
"89","sol.27.7fg",2018,"BE",606.739
"90","whg.27.7b-ce-k",2018,"BE",103.34
"91","cod.27.7e-k",2019,"BE",43.46
"92","had.27.7b-k",2019,"BE",89.581
"93","meg.27.7b-k8abd",2019,"BE",413.960316
"94","mon.27.78abd",2019,"BE",850.432
"95","nep.fu.2021",2019,"BE",0.075
"96","nep.fu.22",2019,"BE",2.377
"97","nep.out.7",2019,"BE",0.059
"98","sol.27.7fg",2019,"BE",799.679
"99","whg.27.7b-ce-k",2019,"BE",73.035
"100","had.27.7b-k",2014,"DE",2.918
"101","whg.27.7b-ce-k",2014,"DE",0.597
"102","whg.27.7b-ce-k",2015,"DE",0.11
"103","whg.27.7b-ce-k",2016,"DE",0.268
"104","whg.27.7b-ce-k",2017,"DE",0.474
"105","had.27.7b-k",2019,"DE",4.20772
"106","whg.27.7b-ce-k",2019,"DE",0.168
"107","had.27.7b-k",2017,"DK",0.05
"108","had.27.7b-k",2018,"DK",1.2
"109","whg.27.7b-ce-k",2018,"DK",0.794
"110","had.27.7b-k",2009,"ES",85
"111","meg.27.7b-k8abd",2009,"ES",6319.368
"112","mon.27.78abd",2009,"ES",1689.48
"113","nep.fu.16",2009,"ES",723
"114","whg.27.7b-ce-k",2009,"ES",4
"115","had.27.7b-k",2010,"ES",182
"116","meg.27.7b-k8abd",2010,"ES",4018.572
"117","mon.27.78abd",2010,"ES",1478.58
"118","nep.fu.16",2010,"ES",372
"119","whg.27.7b-ce-k",2010,"ES",10
"120","had.27.7b-k",2011,"ES",135
"121","meg.27.7b-k8abd",2011,"ES",3660.228
"122","mon.27.78abd",2011,"ES",1430.7
"123","nep.fu.16",2011,"ES",318
"124","whg.27.7b-ce-k",2011,"ES",7
"125","had.27.7b-k",2012,"ES",160
"126","meg.27.7b-k8abd",2012,"ES",3861.204
"127","mon.27.78abd",2012,"ES",1662.69
"128","nep.fu.16",2012,"ES",295
"129","whg.27.7b-ce-k",2012,"ES",5
"130","had.27.7b-k",2013,"ES",6
"131","meg.27.7b-k8abd",2013,"ES",4647.096
"132","mon.27.78abd",2013,"ES",1787.52
"133","nep.fu.16",2013,"ES",181
"134","whg.27.7b-ce-k",2013,"ES",4
"135","had.27.7b-k",2014,"ES",3
"136","meg.27.7b-k8abd",2014,"ES",3205.188
"137","mon.27.78abd",2014,"ES",1846.8
"138","nep.fu.16",2014,"ES",144
"139","whg.27.7b-ce-k",2014,"ES",1
"140","meg.27.7b-k8abd",2015,"ES",2882.868
"141","mon.27.78abd",2015,"ES",1576.05
"142","nep.fu.16",2015,"ES",82
"143","meg.27.7b-k8abd",2016,"ES",2793.756
"144","mon.27.78abd",2016,"ES",1696.32
"145","nep.fu.16",2016,"ES",57
"146","had.27.7b-k",2017,"ES",0.154
"147","meg.27.7b-k8abd",2017,"ES",2750.12904
"148","mon.27.78abd",2017,"ES",1727.4933
"149","nep.fu.16",2017,"ES",66.5273
"150","cod.27.7e-k",2018,"ES",0.06
"151","had.27.7b-k",2018,"ES",0.638
"152","meg.27.7b-k8abd",2018,"ES",2327.66469
"153","mon.27.78abd",2018,"ES",1527.7881
"154","nep.fu.16",2018,"ES",130.574100295
"155","whg.27.7b-ce-k",2018,"ES",0.077299999
"156","cod.27.7e-k",2019,"ES",14.53562
"157","had.27.7b-k",2019,"ES",88.58882
"158","meg.27.7b-k8abd",2019,"ES",2173.91568
"159","mon.27.78abd",2019,"ES",1618.5834
"160","nep.fu.16",2019,"ES",132.80747
"161","sol.27.7fg",2019,"ES",0.591
"162","whg.27.7b-ce-k",2019,"ES",0.19116
"163","cod.27.7e-k",2009,"FRA",3019.74147
"164","had.27.7b-k",2009,"FRA",5502.72326
"165","meg.27.7b-k8abd",2009,"FRA",2033.15829901422
"166","mon.27.78abd",2009,"FRA",8429.6526521303
"167","sol.27.7fg",2009,"FRA",49.10894
"168","whg.27.7b-ce-k",2009,"FRA",2776.49097
"169","cod.27.7e-k",2010,"FRA",2448.96545
"170","had.27.7b-k",2010,"FRA",6420.79796
"171","meg.27.7b-k8abd",2010,"FRA",2530.27151550067
"172","mon.27.78abd",2010,"FRA",8474.04946925404
"173","sol.27.7fg",2010,"FRA",39.18579
"174","whg.27.7b-ce-k",2010,"FRA",3402.4841
"175","cod.27.7e-k",2011,"FRA",4808.43764
"176","had.27.7b-k",2011,"FRA",8381.17655
"177","meg.27.7b-k8abd",2011,"FRA",2279.84025152248
"178","mon.27.78abd",2011,"FRA",9324.10636464026
"179","sol.27.7fg",2011,"FRA",51.96424
"180","whg.27.7b-ce-k",2011,"FRA",4287.11039
"181","cod.27.7e-k",2012,"FRA",6900.16259
"182","had.27.7b-k",2012,"FRA",12293.12988
"183","meg.27.7b-k8abd",2012,"FRA",2972.93826679829
"184","mon.27.78abd",2012,"FRA",11680.8649368451
"185","sol.27.7fg",2012,"FRA",49.88822
"186","whg.27.7b-ce-k",2012,"FRA",3865.59363
"187","cod.27.7e-k",2013,"FRA",5050.83191
"188","had.27.7b-k",2013,"FRA",8738.13725
"189","meg.27.7b-k8abd",2013,"FRA",3492.45526379581
"190","mon.27.78abd",2013,"FRA",12233.8494273729
"191","sol.27.7fg",2013,"FRA",46.91871
"192","whg.27.7b-ce-k",2013,"FRA",3986.43604
"193","cod.27.7e-k",2014,"FRA",2715.26667
"194","had.27.7b-k",2014,"FRA",6350.17774
"195","meg.27.7b-k8abd",2014,"FRA",3200.27518918618
"196","mon.27.78abd",2014,"FRA",11626.6921943934
"197","sol.27.7fg",2014,"FRA",57.5986
"198","whg.27.7b-ce-k",2014,"FRA",4928.43178
"199","cod.27.7e-k",2015,"FRA",3373.12901
"200","had.27.7b-k",2015,"FRA",5683.1081
"201","meg.27.7b-k8abd",2015,"FRA",3549.54280006294
"202","mon.27.78abd",2015,"FRA",11997.462328391
"203","nep.fu.16",2015,"FRA",2.05319
"204","nep.fu.19",2015,"FRA",5.78620999999999
"205","nep.fu.2021",2015,"FRA",339.02899
"206","nep.fu.22",2015,"FRA",9.69077
"207","nep.out.7",2015,"FRA",13.86416
"208","sol.27.7fg",2015,"FRA",24.2867
"209","whg.27.7b-ce-k",2015,"FRA",5622.62845
"210","cod.27.7e-k",2016,"FRA",2579.30422
"211","had.27.7b-k",2016,"FRA",4573.15584
"212","meg.27.7b-k8abd",2016,"FRA",3559.89068468627
"213","mon.27.78abd",2016,"FRA",12731.5394977041
"214","nep.fu.16",2016,"FRA",33.959
"215","nep.fu.19",2016,"FRA",4.73856
"216","nep.fu.2021",2016,"FRA",438.6515
"217","nep.fu.22",2016,"FRA",6.71077
"218","nep.out.7",2016,"FRA",22.29591
"219","sol.27.7fg",2016,"FRA",73.02132
"220","whg.27.7b-ce-k",2016,"FRA",6281.22291
"221","cod.27.7e-k",2017,"FRA",1577.96528
"222","had.27.7b-k",2017,"FRA",4894.86677
"223","meg.27.7b-k8abd",2017,"FRA",3637.91083813706
"224","mon.27.78abd",2017,"FRA",12773.2057475664
"225","nep.fu.16",2017,"FRA",62.92046
"226","nep.fu.19",2017,"FRA",3.78293
"227","nep.fu.2021",2017,"FRA",316.9155
"228","nep.fu.22",2017,"FRA",8.428
"229","nep.out.7",2017,"FRA",23.0567728640021
"230","sol.27.7fg",2017,"FRA",49.61492
"231","whg.27.7b-ce-k",2017,"FRA",5290.32018
"232","cod.27.7e-k",2018,"FRA",611.06077
"233","had.27.7b-k",2018,"FRA",4376.92863
"234","meg.27.7b-k8abd",2018,"FRA",3228.40532586826
"235","mon.27.78abd",2018,"FRA",11317.9689675713
"236","nep.fu.16",2018,"FRA",76.4323099999999
"237","nep.fu.19",2018,"FRA",4.63782
"238","nep.fu.2021",2018,"FRA",165.91419
"239","nep.fu.22",2018,"FRA",5.17483
"240","nep.out.7",2018,"FRA",33.73257
"241","sol.27.7fg",2018,"FRA",44.66237
"242","whg.27.7b-ce-k",2018,"FRA",3625.19175
"243","cod.27.7e-k",2019,"FRA",368.76256
"244","had.27.7b-k",2019,"FRA",4547.73576
"245","meg.27.7b-k8abd",2019,"FRA",3239.07901891829
"246","mon.27.78abd",2019,"FRA",10561.2782484
"247","nep.fu.16",2019,"FRA",52.94222
"248","nep.fu.19",2019,"FRA",2.49285
"249","nep.fu.2021",2019,"FRA",195.22925
"250","nep.fu.22",2019,"FRA",12.39837
"251","nep.out.7",2019,"FRA",38.49466
"252","sol.27.7fg",2019,"FRA",42.46058
"253","whg.27.7b-ce-k",2019,"FRA",3221.33698
"254","cod.27.7e-k",2009,"IE",857.35
"255","had.27.7b-k",2009,"IE",3275.36
"256","meg.27.7b-k8abd",2009,"IE",1833.3846
"257","mon.27.78abd",2009,"IE",2320.4688
"258","nep.fu.16",2009,"IE",363.12
"259","nep.fu.17",2009,"IE",624.38
"260","nep.fu.19",2009,"IE",757.5
"261","nep.fu.2021",2009,"IE",1294.29
"262","nep.fu.22",2009,"IE",1612.85
"263","nep.out.7",2009,"IE",71.59
"264","sol.27.7fg",2009,"IE",26
"265","whg.27.7b-ce-k",2009,"IE",2843.17
"266","cod.27.7e-k",2010,"IE",1037.13
"267","had.27.7b-k",2010,"IE",2899.42
"268","meg.27.7b-k8abd",2010,"IE",2223.17376
"269","mon.27.78abd",2010,"IE",2815.8
"270","nep.fu.16",2010,"IE",596.13
"271","nep.fu.17",2010,"IE",936.98
"272","nep.fu.19",2010,"IE",615.36
"273","nep.fu.2021",2010,"IE",715.39
"274","nep.fu.22",2010,"IE",2234.38
"275","nep.out.7",2010,"IE",50.34
"276","sol.27.7fg",2010,"IE",26.93
"277","whg.27.7b-ce-k",2010,"IE",4372.81
"278","cod.27.7e-k",2011,"IE",1014.88
"279","had.27.7b-k",2011,"IE",3702.41
"280","meg.27.7b-k8abd",2011,"IE",2109.23364
"281","mon.27.78abd",2011,"IE",2588.625
"282","nep.fu.16",2011,"IE",684.79
"283","nep.fu.17",2011,"IE",658.43
"284","nep.fu.19",2011,"IE",588.65
"285","nep.fu.2021",2011,"IE",635.37
"286","nep.fu.22",2011,"IE",1544.71
"287","nep.out.7",2011,"IE",101.6
"288","sol.27.7fg",2011,"IE",29.59
"289","whg.27.7b-ce-k",2011,"IE",4811.19
"290","cod.27.7e-k",2012,"IE",1528.89
"291","had.27.7b-k",2012,"IE",4551.85
"292","meg.27.7b-k8abd",2012,"IE",2917.93452
"293","mon.27.78abd",2012,"IE",2431.1118
"294","nep.fu.16",2012,"IE",643.21
"295","nep.fu.17",2012,"IE",1242.6
"296","nep.fu.19",2012,"IE",783.05
"297","nep.fu.2021",2012,"IE",786.84
"298","nep.fu.22",2012,"IE",2537.28
"299","nep.out.7",2012,"IE",129.95
"300","sol.27.7fg",2012,"IE",31.44
"301","whg.27.7b-ce-k",2012,"IE",5867.73
"302","cod.27.7e-k",2013,"IE",1461.51
"303","had.27.7b-k",2013,"IE",3032.98
"304","meg.27.7b-k8abd",2013,"IE",2878.81056
"305","mon.27.78abd",2013,"IE",2217.8676
"306","nep.fu.16",2013,"IE",651.07
"307","nep.fu.17",2013,"IE",1389.93
"308","nep.fu.19",2013,"IE",747.15
"309","nep.fu.2021",2013,"IE",874.93
"310","nep.fu.22",2013,"IE",2061.33
"311","nep.out.7",2013,"IE",117.28
"312","sol.27.7fg",2013,"IE",42.26
"313","whg.27.7b-ce-k",2013,"IE",6906.24
"314","cod.27.7e-k",2014,"IE",1187.41
"315","had.27.7b-k",2014,"IE",2472.06
"316","meg.27.7b-k8abd",2014,"IE",2262.51576
"317","mon.27.78abd",2014,"IE",2478.7854
"318","nep.fu.16",2014,"IE",824.81
"319","nep.fu.17",2014,"IE",820.23
"320","nep.fu.19",2014,"IE",452.07
"321","nep.fu.2021",2014,"IE",1365.96
"322","nep.fu.22",2014,"IE",2416.41
"323","nep.out.7",2014,"IE",101.61
"324","sol.27.7fg",2014,"IE",27.65
"325","whg.27.7b-ce-k",2014,"IE",6900.95
"326","cod.27.7e-k",2015,"IE",1118.27
"327","had.27.7b-k",2015,"IE",1967.45
"328","meg.27.7b-k8abd",2015,"IE",2322.96972
"329","mon.27.78abd",2015,"IE",2383.1652
"330","nep.fu.16",2015,"IE",761.96
"331","nep.fu.17",2015,"IE",528.25
"332","nep.fu.19",2015,"IE",515.17
"333","nep.fu.2021",2015,"IE",1672.41
"334","nep.fu.22",2015,"IE",2203.2
"335","nep.out.7",2015,"IE",234.53
"336","sol.27.7fg",2015,"IE",27.24
"337","whg.27.7b-ce-k",2015,"IE",6463.84
"338","cod.27.7e-k",2016,"IE",820.11
"339","had.27.7b-k",2016,"IE",2091.72
"340","meg.27.7b-k8abd",2016,"IE",2467.9284
"341","mon.27.78abd",2016,"IE",2791.8306
"342","nep.fu.16",2016,"IE",1133.34
"343","nep.fu.17",2016,"IE",945.68
"344","nep.fu.19",2016,"IE",658.85
"345","nep.fu.2021",2016,"IE",1592.86
"346","nep.fu.22",2016,"IE",2955.24
"347","nep.out.7",2016,"IE",386.4
"348","sol.27.7fg",2016,"IE",21.37
"349","whg.27.7b-ce-k",2016,"IE",7746.96
"350","cod.27.7e-k",2017,"IE",608.56
"351","had.27.7b-k",2017,"IE",2204.32
"352","meg.27.7b-k8abd",2017,"IE",2373.81096
"353","mon.27.78abd",2017,"IE",2586.831
"354","nep.fu.16",2017,"IE",2050.88385018497
